シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"ローカル変数１",0,0,,,
,"ローカル変数",,0,,"ローカル変数２",0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"サブルーチン呼び出し","*訪問済み",2,"True","オープニング",0,0,,,
,"サブルーチン呼び出し","*else",0,,"オープニング２回目以降",0,0,,,
,"スポットフラグ",,0,,"訪問済み",0,1,,,
,"サブルーチン呼び出し",,0,,"GS_セーブメニュー",0,0,,,
,"終了",,0,,,0,0,,,
"オープニング",,,0,,,0,0,,,
,"BGM停止",,0,,,0,0,,,
,"BGM再生",,0,,"BGM_BOSS_DLC_000_00",0,0,,,
,"テロップ表示",,0,,"Tlp_Ev_E026_CipherWallPapar",0,0,,,
,"テロップ読み込み待ち",,0,,,0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"ウェイト",,0,,,3000,0,,,
,"ダイアログ",,0,,"MID_OP1_1",0,0,,,
,"ダイアログ",,0,,"MID_OP1_2",0,0,,,
,"アイテム入手",,0,,"IID_頑張り屋のリボン",0,0,,,
,"アイテム入手",,0,,"IID_黒き三日月",0,0,,,
,"アイテム入手",,0,,"IID_武家の魔除け鈴",0,0,,,
,"アイテム入手",,0,,"IID_風来騎の髪留め",0,0,,,
,"ダイアログ",,0,,"MID_ED1",0,0,,,
,"BGM停止",,0,,,1000,0,,,
,"フェードアウト",,0,,,1000,0,,,
,"フェード待ち",,0,,,0,0,,,
,"テロップ消去",,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"オープニング２回目以降",,,0,,,0,0,,,
,"BGM停止",,0,,,0,0,,,
,"BGM再生",,0,,"BGM_BOSS_DLC_000_00",0,0,,,
,"テロップ表示",,0,,"Tlp_Ev_E026_CipherWallPapar",0,0,,,
,"テロップ読み込み待ち",,0,,,0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"ウェイト",,0,,,3000,0,,,
,"ダイアログ",,0,,"MID_報酬確認ダイアログ2",0,0,,,
,"BGM停止",,0,,,1000,0,,,
,"フェードアウト",,0,,,1000,0,,,
,"フェード待ち",,0,,,0,0,,,
,"テロップ消去",,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"終了",,,0,,,0,0,,,
,"終了",,0,,,0,0,,,
