シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"ローカル変数１",0,0,,,
,"ローカル変数",,0,,"ローカル変数２",0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"サブルーチン呼び出し","*訪問済み",2,"True","オープニング",0,0,,,
,"サブルーチン呼び出し","*else",0,,"オープニング２回目以降",0,0,,,
,"スポットフラグ",,0,,"訪問済み",0,1,,,
,"サブルーチン呼び出し",,0,,"GS_セーブメニュー",0,0,,,
,"終了",,0,,,0,0,,,
"オープニング",,,0,,,0,0,,,
,"背景",,0,,"拠点_盗賊のほこら_ミラ神像",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_OP1",0,0,,,
,"アイテム入手",,0,,"IID_ブーツ",0,0,,,
,"会話",,0,,"MID_OP2",0,0,,,
,"BGM停止",,0,,,1000,0,,,
,"環境音停止",,0,,,1000,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"オープニング２回目以降",,,0,,,0,0,,,
,"背景",,0,,"拠点_盗賊のほこら_ミラ神像",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"ダイアログ",,0,,"MID_報酬確認ダイアログ2",0,0,,,
,"BGM停止",,0,,,1000,0,,,
,"環境音停止",,0,,,1000,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"終了",,,0,,,0,0,,,
,"終了",,0,,,0,0,,,
