シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
,"グローバル変数",,0,,">メインクエスト",0,0,,,
"ラムの村","グローバル変数",,0,,"G_ラムの村1_初回訪問",0,0,,,
,"グローバル変数",,0,,"G_ラムの村1_会話変更_広場",0,0,,,
,"グローバル変数",,0,,"G_ラムの村1_会話変更_村の出入り口",0,0,,,
,"グローバル変数",,0,,"G_ラムの村1_村を出る",0,0,,,
,"グローバル変数",,0,,"G_ラムの村1_SUB_21盗賊数",0,0,,,
,"グローバル変数",,0,,"G_ラムの村2_初回訪問",0,0,,,
,"グローバル変数",,0,,"G_ラムの村2_強制会話_マイセンの家",0,0,,,
,"グローバル変数",,0,,"G_ラムの村2_強制会話_村の出入り口",0,0,,,
,"グローバル変数",,0,,"G_ラムの村C_クリフ会話アルム",0,0,,,
,"グローバル変数",,0,,"G_ラムの村C_クリフ会話セリカ",0,0,,,
,"グローバル変数",,0,,"G_ラムの村C_エフィ会話アルム",0,0,,,
,"グローバル変数",,0,,"G_ラムの村C_エフィ会話セリカ",0,0,,,
"盗賊の森","グローバル変数",,0,,"G_盗賊の森1_クリア",0,0,,,
"盗賊のほこら","グローバル変数",,0,,"G_盗賊のほこら1_初回訪問",0,0,,,
,"グローバル変数",,0,,"G_盗賊のほこら1_シルク_仲間入り",0,0,,,
,"グローバル変数",,0,,"G_盗賊のほこら1_ボス会話済み",0,0,,,
,"グローバル変数",,0,,"G_盗賊のほこら1_ボス撃破済み",0,0,,,
,"グローバル変数",,0,,"G_盗賊のほこら2_シルク会話セリカ",0,0,,,
"南の砦内部","グローバル変数",,0,,"G_南の砦内部1_牢の前初回",0,0,,,
,"グローバル変数",,0,,"G_南の砦内部1_いかづちの剣",0,0,,,
,"グローバル変数",,0,,"G_南の砦内部1_牢獄の鍵入手",0,0,,,
,"グローバル変数",,0,,"G_南の砦内部1_移動阻害",0,0,,,
"ソフィアの南２","グローバル変数",,0,,"G_ソフィアの南２_移動阻害",0,0,,,
"解放軍のアジト","グローバル変数",,0,,"G_解放軍のアジト1_初回訪問",0,0,,,
,"グローバル変数",,0,,"G_解放軍のアジト1_クリア",0,0,,,
,"グローバル変数",,0,,"G_解放軍のアジト1_強制会話_アジト奥",0,0,,,
,"グローバル変数",,0,,"G_解放軍のアジト1_フォルス会話",0,0,,,
,"グローバル変数",,0,,"G_解放軍のアジト1_パイソン会話",0,0,,,
,"グローバル変数",,0,,"G_解放軍のアジト2_フォルス会話",0,0,,,
,"グローバル変数",,0,,"G_解放軍のアジト2_パイソン会話",0,0,,,
"ソフィア城","グローバル変数",,0,,"G_ソフィア城1_初回訪問",0,0,,,
,"グローバル変数",,0,,"G_ソフィア城1_強制会話_謁見の間",0,0,,,
,"グローバル変数",,0,,"G_ソフィア城1_強制会話_中央ホール",0,0,,,
,"グローバル変数",,0,,"G_ソフィア城1_ナイトキラー",0,0,,,
,"グローバル変数",,0,,"G_ソフィア城1_演出",0,0,,,
,"グローバル変数",,0,,"G_ソフィア城1_バルコニー移動許可",0,0,,,
,"グローバル変数",,0,,"G_ソフィア城2_バトル勝利",0,0,,,
,"グローバル変数",,0,,"G_ソフィア城3_ミラの歯車",0,0,,,
,"グローバル変数",,0,,"G_ソフィア城3_3章OP",0,0,,,
,"グローバル変数",,0,,"G_SUB_03チーズ_穴あき",0,0,,,
,"グローバル変数",,0,,"G_SUB_03チーズ_青カビ",0,0,,,
,"グローバル変数",,0,,"G_SUB_03チーズ_聖獣",0,0,,,
,"グローバル変数",,0,,"G_SUB_16配置",0,0,,,
,"グローバル変数",,0,,"G_SUB_20MOB会話",0,0,,,
,"グローバル変数",,0,,"G_SUB_20配置",0,0,,,
"修道院","グローバル変数",,0,,"G_修道院2_初回訪問",0,0,,,
,"グローバル変数",,0,,"G_修道院2_ジェニー会話",0,0,,,
,"グローバル変数",,0,,"G_修道院2_クリア",0,0,,,
,"グローバル変数",,0,,"G_修道院2_演出",0,0,,,
,"グローバル変数",,0,,"G_SUB_22ゾンビ数",0,0,,,
"ノーヴァの港","グローバル変数",,0,,"G_ノーヴァの港2_桟橋イベント",0,0,,,
,"グローバル変数",,0,,"G_ノーヴァの港2_バルボたちについて",0,0,,,
,"グローバル変数",,0,,"G_ノーヴァの港2_演出",0,0,,,
"海賊の砦","グローバル変数",,0,,"G_海賊の砦2_バルボ死亡",0,0,,,
,"グローバル変数",,0,,"G_海賊の砦2_カムイ死亡",0,0,,,
,"グローバル変数",,0,,"G_海賊の砦2_レオ死亡",0,0,,,
"海賊の砦内部","グローバル変数",,0,,"G_海賊の砦内部2_バルボ会話",0,0,,,
,"グローバル変数",,0,,"G_海賊の砦内部2_カムイ会話",0,0,,,
,"グローバル変数",,0,,"G_海賊の砦内部2_レオ会話",0,0,,,
,"グローバル変数",,0,,"G_海賊の砦内部2_3人加入",0,0,,,
,"グローバル変数",,0,,"G_海賊の砦内部2_鋼の剣",0,0,,,
"ソフィアの門","グローバル変数",,0,,"G_ソフィアの門2_初回訪問",0,0,,,
"ソフィアの海岸","グローバル変数",,0,,"G_ソフィアの海岸3_パオラ死亡",0,0,,,
,"グローバル変数",,0,,"G_ソフィアの海岸3_カチュア死亡",0,0,,,
"ソフィアの港","グローバル変数",,0,,"G_ソフィアの港3_パオラ会話",0,0,,,
,"グローバル変数",,0,,"G_ソフィアの港3_カチュア会話",0,0,,,
,"グローバル変数",,0,,"G_SUB_11さんごカウンター",0,0,,,
,"グローバル変数",,0,,"G_SUB_36釣果待ち",0,0,,,
,"グローバル変数",,0,,"G_SUB_36釣り時間",0,0,,,
"森の村内部","グローバル変数",,0,,"G_森の村内部3_リュート会話",0,0,,,
,"グローバル変数",,0,,"G_森の村内部3_外へ出る会話",0,0,,,
,"グローバル変数",,0,,"G_森の村内部3_聖なる槍",0,0,,,
,"グローバル変数",,0,,"G_SUB30_きのみ入手",0,0,,,
,"グローバル変数",,0,,"G_SUB30_歯車入手",0,0,,,
"森のほこら","グローバル変数",,0,,"G_森のほこら3_女の子救出",0,0,,,
,"グローバル変数",,0,,"G_SUB_27書き置き見た",0,0,,,
,"グローバル変数",,0,,"G_SUB_27人形配置",0,0,,,
"ドゼーの砦","グローバル変数",,0,,"G_ドゼーの砦3_マチルダ死亡",0,0,,,
,"グローバル変数",,0,,"G_ドゼーの砦3_クリア",0,0,,,
"ドゼーの砦内部","グローバル変数",,0,,"G_ドゼーの砦内部3_王家の剣",0,0,,,
,"グローバル変数",,0,,"G_ドゼーの砦内部3_マチルダ会話",0,0,,,
,"グローバル変数",,0,,"G_ドゼーの砦内部3_牢獄前",0,0,,,
"森の北","グローバル変数",,0,,"G_森の北3_演出",0,0,,,
"水門","グローバル変数",,0,,"G_水門3_デューテ撤退",0,0,,,
,"グローバル変数",,0,,"G_水門3_デューテ死亡",0,0,,,
"山の村","グローバル変数",,0,,"G_山の村3_アトラス会話",0,0,,,
,"グローバル変数",,0,,"G_山の村_SUB28_日記渡した",0,0,,,
,"グローバル変数",,0,,"G_山の村_SUB33_村を出た",0,0,,,
,"グローバル変数",,0,,"G_山の村_SUB33_乱数保存",0,0,,,
,"グローバル変数",,0,,"G_山の村_SUB33_カウンタ",0,0,,,
,"グローバル変数",,0,,"G_山の村_SUB33_像ゲットした",0,0,,,
"水門内部","グローバル変数",,0,,"G_水門内部3_デューテ会話",0,0,,,
,"グローバル変数",,0,,"G_水門内部3_玄関",0,0,,,
,"グローバル変数",,0,,"G_水門内部3_演出",0,0,,,
,"グローバル変数",,0,,"G_水門内部4_オープニング",0,0,,,
,"グローバル変数",,0,,"G_SUB10_きのみ入手",0,0,,,
,"グローバル変数",,0,,"G_SUB10_うろこ入手",0,0,,,
"ミラへの谷","グローバル変数",,0,,"G_ミラへの谷3_クリア",0,0,,,
,"グローバル変数",,0,,"G_ミラへの谷3_魔女遭遇",0,0,,,
"砂漠の砦","グローバル変数",,0,,"G_砂漠の砦3_クリア",0,0,,,
"砂漠の砦内部","グローバル変数",,0,,"G_砂漠の砦内部3_ジェシー会話",0,0,,,
,"グローバル変数",,0,,"G_砂漠の砦内部3_牢獄前",0,0,,,
,"グローバル変数",,0,,"G_砂漠の砦内部3_鋼の槍",0,0,,,
