シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"牢前強制会話",0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ドゼーの砦内部",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ",,0,,"玄関",0,0,,,
"移動先_ドゼーの砦内部",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_DozeFort",0,0,,,
,"移動先追加",,0,,"玄関",0,0,,,
,"移動先追加",,0,,"作戦室",0,0,,,
,"移動先追加",,0,,"牢獄",0,0,,,
,"移動先追加",,0,,"外に出る",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"変数セット",,0,,"牢前強制会話",0,0,,,
,"サブルーチン呼び出し","G_ドゼーの砦内部3_マチルダ会話",5,"1","変数設定_マチルダ",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"変数設定_マチルダ",,,0,,,0,0,,,
,"変数セット","*クリア済み",1,"水門","G_ドゼーの砦内部3_マチルダ会話",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関",,,0,,,0,0,,,
,"背景",,0,,"拠点_ドゼーの砦_玄関",0,0,,,
,"BGM再生",,0,,"BGM_EVT_AMB",0,0,,,
,"サブルーチン呼び出し","G_SUB_24宝をとりもどせドゼー編",1,"1","玄関_SUB24",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"作戦室",,,0,,,0,0,,,
,"背景",,0,,"拠点_ドゼーの砦_作戦室",0,0,,,
,"BGM再生",,0,,"BGM_EVT_AMB",0,0,,,
,"オブジェクトセット","G_ドゼーの砦内部3_王家の剣",2,"0","tresurebox_adv_1",2,0,,,
,"オブジェクトセット","*クリア済み",1,"リゲル城","tresurebox_adv_1",2,0,,,
,"サブルーチン呼び出し","*クリア済み",2,"リゲル城","作戦室_フェード前",0,0,,,
,"サブルーチン呼び出し","G_SUB_11サンゴを集めてくれ",1,"2","作戦室_SUB12",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"作戦室_フェード前",,,0,,,0,0,,,
,"調べるポイント追加","G_ドゼーの砦内部3_王家の剣",1,"0","作戦室_王家の剣",0,0,"tresurebox_adv_1",,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄",,,0,,,0,0,,,
,"背景","牢前強制会話",2,"1","拠点_ドゼーの砦_牢獄",0,0,,,
,"サブルーチン呼び出し","*加入",2,"マチルダ","牢獄マチルダ立ち絵",0,0,,,
,"サブルーチン呼び出し","G_ドゼーの砦3_マチルダ死亡",2,"1","扉_設定",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"現在地表示",,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"3","牢獄_フェード後3章",0,0,,,
,"コマンド実行",,0,,,0,0,,,
"扉_設定",,,0,,,0,0,,,
,"調べるポイント追加","G_ドゼーの砦内部3_マチルダ会話",1,"0","扉_調べる",0,0,"irondoor",,
,"オブジェクトセット","G_ドゼーの砦内部3_マチルダ会話",4,"1","irondoor",5,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"扉_調べる",,,0,,,0,0,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_Door",0,0,,,
,"はい選択",,0,,"マチルダ仲間入り_選択",0,0,,,
,"いいえ選択",,0,,"扉_開けない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"扉_開けない",,,0,,,0,0,,,
