シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"SUB27設定",0,0,,,
,"ローカル変数",,0,,"牢獄２扉設定",0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ヌイババ館内部",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ",,0,,"玄関",0,0,,,
"移動先_ヌイババ館内部",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_NuibabaHouse",0,0,,,
,"移動先追加",,0,,"玄関",0,0,,,
,"移動先追加",,0,,"牢獄１",0,0,,,
,"移動先追加",,0,,"牢獄２",0,0,,,
,"移動先追加",,0,,"外に出る",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関",,,0,,,0,0,,,
,"背景",,0,,"拠点_ヌイババの館_玄関",0,0,,,
,"サブルーチン呼び出し","*章",1,"4","玄関_フェード前4章",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"牢獄１",,,0,,,0,0,,,
,"背景",,0,,"拠点_ヌイババの館_牢獄１",0,0,,,
,"サブルーチン呼び出し","G_リゲル平野4_ジーク死亡",2,"1","牢獄１_ティータ",0,0,,,
,"サブルーチン呼び出し","G_リゲル平野4_ジーク死亡",2,"1","扉_初期設定",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"扉_初期設定",,,0,,,0,0,,,
,"調べるポイント追加","G_ヌイババ館内部4_ティータ会話",1,"0","扉_調べる",0,0,"irondoor",,
,"オブジェクトセット","G_ヌイババ館内部4_ティータ会話",4,"1","irondoor",5,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"扉_調べる",,,0,,,0,0,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_Door",0,0,,,
,"はい選択",,0,,"ティータ仲間入り_選択",0,0,,,
,"いいえ選択",,0,,"扉_開けない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"扉_開けない",,,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄１_ティータ",,,0,,,0,0,,,
,"サブルーチン呼び出し","*加入",2,"ティータ","牢獄１_ティータ2",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄１_ティータ2",,,0,,,0,0,,,
,"立ち絵追加","G_ヌイババ館内部4_ティータ会話",1,"0","ティータと会話_扉開前",6,0,"ティータ","MID_ADV_C_NAMEティータ","デプステスト有り"
,"立ち絵追加","G_ヌイババ館内部4_ティータ会話",1,"1","ティータ仲間入り_選択",6,0,"ティータ",,"デプステスト有り"
,"立ち絵追加","G_ヌイババ館内部4_ティータ会話",1,"2","ティータ仲間入り_選択",6,0,"ティータ",,"デプステスト有り"
,"サブルーチン終了",,0,,,0,0,,,
"ティータと会話_扉開前",,,0,,,0,0,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_Door",0,0,,,
,"はい選択",,0,,"ティータ仲間入り_選択",0,0,,,
,"いいえ選択",,0,,"ティータと会話_開けない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"ティータと会話_開けない",,,0,,,0,0,,,
,"会話終了",,0,,,0,0,,,
"ティータと会話",,,0,,,0,0,,,
,"オブジェクトセット","G_ヌイババ館内部4_ティータ会話",1,"0","irondoor",5,0,,,
,"ウェイト","G_ヌイババ館内部4_ティータ会話",1,"0",,2000,0,,,
,"会話","G_ヌイババ館内部4_ティータ会話",1,"0","MID_ADV_C_ティータ1",6,0,,,
,"会話","*else",0,,"MID_ADV2_C_ティータ",6,0,,,
,"変数セット","G_ヌイババ館内部4_ティータ会話",2,"0","G_ヌイババ館内部4_ティータ会話",0,2,,,
,"変数セット","*else",0,,"G_ヌイババ館内部4_ティータ会話",0,1,,,
,"変数セット",,0,,"G_ヌイババ館内部4_ティータ救出",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"ティータ仲間入り_選択",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"ティータと会話",0,0,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_ティータ_SELECT",0,0,,,
,"はい選択",,0,,"ティータ仲間入り_加入",0,0,,,
,"いいえ選択",,0,,"ティータ仲間入り_拒否",0,0,,,
