シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"玄関_フェード前4章",,,0,,,0,0,,,
,"立ち絵追加",,0,,"MID_ADV1_ソルジャー",2,0,"ソルジャー","MPID_リゲル兵",
,"立ち絵追加",,0,,"MID_ADV1_アーチャー",4,0,"アーチャー","MPID_リゲル兵",
,"サブルーチン終了",,0,,,0,0,,,
"中央ホール_フェード前4章",,,0,,,0,0,,,
,"立ち絵追加",,0,,"MID_ADV1_ソシアルナイト",1,0,"ソシアルナイト","MPID_リゲル兵",
,"立ち絵追加",,0,,"MID_ADV2_マッセナ",3,0,"マッセナ",,
,"サブルーチン終了",,0,,,0,0,,,
"中央ホール_フェード後4章",,,0,,,0,0,,,
,"会話","G_ドーマ神殿4_中央ホール到着",2,"1","MID_EV1",3,0,,,
,"変数セット",,0,,"G_ドーマ神殿4_中央ホール到着",0,1,,,
,"移動先許可",,0,,"謁見の間へ",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"謁見の間_フェード前4章",,,0,,,0,0,,,
,"立ち絵追加","G_ドーマ神殿4_玉座到着",1,"0","謁見の間_4章エンディング",3,0,"マイセン",,
,"サブルーチン終了",,0,,,0,0,,,
"謁見の間_4章エンディング",,,0,,,0,0,,,
,"会話",,0,,"MID_EV2",3,0,,,
,"仲間入り","*加入",2,"マイセン","マイセン",0,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"壁紙表示",,0,,,0,0,,,
,"フェードイン",,0,,,1,0,,,
,"テロップ表示",,0,,"Tlp_EV_DecisionOfAlum",0,0,,,
,"字幕再生",,0,,"Tlp_EV_DecisionOfAlum",0,0,,,"MID_EV4"
,"BGM停止",,0,,,2,0,,,
,"環境音停止",,0,,,2,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"テロップ消去",,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"GS_セーブメニュー",0,0,,,
,"章セット",,0,,"リゲル城内部",5,1,,,
,"イベントジャンプ",,0,,"リゲル城内部",0,0,,,
,"終了",,0,,,0,0,,,
"アドベンチャーをスキップ_4章",,,0,,,1,0,,,
,"変数セット",,0,,"G_ドーマ神殿4_中央ホール到着",0,1,,,
,"変数セット",,0,,"G_ドーマ神殿4_玉座到着",0,1,,,
,"章セット",,0,,"リゲル城内部",5,1,,,
,"イベントジャンプ",,0,,"リゲル城内部",0,0,,,
,"終了",,0,,,0,0,,,
