シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"1","変数設定_1章",0,0,,,
,"拠点会話追加","*加入",1,"クレア",,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_南の砦内部",0,0,,,
,"ジャンプ",,0,,"玄関",0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"1","初期化_変数設定_1章",0,0,,,
,"サブルーチン呼び出し","*章",4,"2","初期化_変数設定デバッグ",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定デバッグ",,,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_南の砦内部",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_SouthFort",0,0,,,
,"移動先追加",,0,,"玄関",0,0,,,
,"移動先追加",,0,,"作戦室",0,0,,,
,"移動先追加",,0,,"牢獄",0,0,,,
,"移動先追加",,0,,"外に出る",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"クレアが呼び止める",,,0,,,0,0,,,
,"会話",,0,,"MID_EV2",6,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関",,,0,,,0,0,,,
,"コメント",,0,,"玄関",0,0,,,
,"背景",,0,,"拠点_南の砦_玄関",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"作戦室",,,0,,,0,0,,,
,"背景",,0,,"拠点_南の砦_作戦室",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"牢獄",,,0,,,0,0,,,
,"背景",,0,,"拠点_南の砦_牢獄",0,0,,,
,"オブジェクトセット","G_南の砦内部1_牢獄の鍵入手",1,"1","adv_key_1",2,0,,,
,"オブジェクトセット","*章",4,"2","irondoor",5,0,,,
,"サブルーチン呼び出し","*章",1,"1","牢獄_フェードイン前_1章",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"1","牢獄_1章",0,0,,,
,"ダミー移動コマンド追加","*加入",2,"クレア","クレアが呼び止める",0,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"いかづちの剣入手",,,0,,,0,0,,,
,"アイテム入手",,0,,"IID_いかづちの剣",0,0,,,
,"変数セット",,0,,"G_南の砦内部1_いかづちの剣",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"外に出る",,,0,,,0,0,,,
,"BGM停止",,0,,,2,0,,,
,"環境音停止",,0,,,2,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"アドベンチャーをスキップ",,,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"1","アドベンチャーをスキップ_1章",0,0,,,
,"ジャンプ",,0,,"外に出る",0,0,,,
